meta,Genus,Species,Isolate N,Taxon,PC1,PC2,PC3,PC4,PC5
Psever36BHI18BC32,Pse,ver,36,Pse ver,1.385904072381042,6.807644731226112,-6.577989195217187,1.2541129593850013,4.781578843222006
Psever36BHI18BC33,Pse,ver,36,Pse ver,1.3774776819949204,6.7957994257591885,-6.389863632352673,1.1552521716800965,4.598390933735144
Psever36BHI18BC21,Pse,ver,36,Pse ver,9.924144674162882,-1.6245665762309616,-12.01286030223734,-11.086334735890476,-0.24267756992463363
Psever36BHI18BC22,Pse,ver,36,Pse ver,10.373668115039129,-1.3408632657666415,-11.906331370860162,-12.457859063993293,-0.16964280464176398
Psever36BHI18BC23,Pse,ver,36,Pse ver,4.060130434461175,13.187954418839022,-10.996855186315406,4.233203741736464,-5.1255668510593315
Psygla11BHI18BC11,Psy,gla,11,Psy gla,-36.08574256962755,11.700583056211576,-1.1154259284207648,-9.945652733036237,-1.3183203683028826
Psygla11BHI18BC12,Psy,gla,11,Psy gla,9.065017748155668,-0.2725227474427218,-10.238493649086461,-10.564971158450515,0.7823656758935569
Psygla11BHI18BC13,Psy,gla,11,Psy gla,-2.1856712904087847,-11.942974823604743,-12.160118661967838,2.3248767514245565,1.3413806801600863
Psygla11BHI18BC21,Psy,gla,11,Psy gla,-33.92259220211957,16.859543875539543,0.6204736568899638,-14.21594121565576,-1.0924785782892092
Psygla11BHI18BC22,Psy,gla,11,Psy gla,-34.19092771632571,16.79230016199548,0.6005216358013277,-14.061493680659103,-1.111443207275357
Psygla11BHI18BC23,Psy,gla,11,Psy gla,-34.02957371508299,16.864284826513153,0.6882020669761595,-14.11656247684566,-1.1001293673534522
Psygla11BHI18BC31,Psy,gla,11,Psy gla,1.1748608004357168,6.1148866677920015,-3.3783528320493525,2.0028973663614926,2.5098569325741633
Psygla11BHI18BC32,Psy,gla,11,Psy gla,1.2469437368446092,6.162549285608862,-2.72269798017277,1.430477202135268,1.7367219952777715
Psygla11BHI18BC33,Psy,gla,11,Psy gla,1.495007899961833,6.250911365062664,-1.9727596470612914,0.7544487440407169,0.6911820198075802
Psyura25BHI18BC11,Psy,ura,25,Psy ura,0.3193691539160142,5.949840576627513,-5.268872646498592,0.9440097505861588,3.1818973244568043
Psyura25BHI18BC12,Psy,ura,25,Psy ura,0.14663072706194333,5.933793623613653,-5.410712636641282,1.320128042452328,3.4864674729142027
